feature,importance,importance_xgb
avg_trace_duration_ms,0.07759832590818405,0.07759832590818405
call_type_diversity,0.0,0.0
critical_path_mean_ms,0.08758226782083511,0.08758226782083511
entrypoint_trace_ratio,0.0,0.0
error_span_ratio,0.07235857099294662,0.07235857099294662
error_trace_ratio,0.06958994269371033,0.06958994269371033
latency_cv,0.18427538871765137,0.18427538871765137
max_trace_duration_ms,0.10764172673225403,0.10764172673225403
mean_span_count,0.0630670115351677,0.0630670115351677
p95_trace_duration_ms,0.08090388774871826,0.08090388774871826
request_fanout_mean,0.07673808187246323,0.07673808187246323
service_count,0.06075957790017128,0.06075957790017128
service_role_count,0.03434314206242561,0.03434314206242561
stateful_trace_ratio,0.0,0.0
trace_count,0.08514207601547241,0.08514207601547241
